,date,open,close,high,low,volume,code
0,2005-02-23,0.881,0.876,0.882,0.866,12697425.42,510050
1,2005-02-24,0.876,0.876,0.876,0.868,4516142.23,510050
2,2005-02-25,0.877,0.88,0.887,0.875,5064606.95,510050
3,2005-02-28,0.878,0.872,0.879,0.87,1879651.93,510050
4,2005-03-01,0.87,0.867,0.873,0.865,2080944.56,510050
5,2005-03-02,0.867,0.859,0.874,0.857,2492746.43,510050
6,2005-03-03,0.858,0.859,0.861,0.854,1001532.2,510050
7,2005-03-04,0.859,0.86,0.865,0.857,1298001.89,510050
8,2005-03-07,0.86,0.862,0.865,0.86,1167896.45,510050
9,2005-03-08,0.864,0.874,0.875,0.863,2985053.87,510050
10,2005-03-09,0.874,0.873,0.878,0.869,2000063.04,510050
11,2005-03-10,0.872,0.853,0.872,0.852,3338597.48,510050
12,2005-03-11,0.853,0.855,0.856,0.85,1323445.47,510050
13,2005-03-14,0.855,0.857,0.864,0.845,2335094.99,510050
14,2005-03-15,0.856,0.843,0.856,0.842,2829616.31,510050
15,2005-03-16,0.841,0.834,0.843,0.832,2194449.91,510050
16,2005-03-17,0.834,0.828,0.837,0.827,1300625.34,510050
17,2005-03-18,0.828,0.824,0.832,0.821,2277922.57,510050
18,2005-03-21,0.824,0.824,0.826,0.821,1032730.02,510050
19,2005-03-22,0.824,0.808,0.825,0.807,1622940.82,510050
20,2005-03-23,0.807,0.804,0.811,0.8,1452955.1,510050
21,2005-03-24,0.802,0.806,0.807,0.797,1183880.57,510050
22,2005-03-25,0.806,0.805,0.809,0.802,1082233.65,510050
23,2005-03-28,0.803,0.802,0.805,0.797,712663.2,510050
24,2005-03-29,0.802,0.805,0.811,0.802,1440180.3,510050
25,2005-03-30,0.804,0.793,0.804,0.791,1926594.45,510050
26,2005-03-31,0.792,0.794,0.795,0.786,1287382.77,510050
27,2005-04-01,0.793,0.829,0.834,0.79,5023906.01,510050
28,2005-04-04,0.814,0.81,0.818,0.804,2329915.58,510050
29,2005-04-05,0.808,0.805,0.813,0.802,1295870.51,510050
30,2005-04-06,0.802,0.818,0.825,0.799,2613610.39,510050
31,2005-04-07,0.818,0.824,0.839,0.815,3634517.93,510050
32,2005-04-08,0.824,0.836,0.836,0.819,2432582.74,510050
33,2005-04-11,0.833,0.83,0.841,0.827,1632058.41,510050
34,2005-04-12,0.83,0.821,0.832,0.82,2114897.93,510050
35,2005-04-13,0.831,0.84,0.842,0.83,4037055.35,510050
36,2005-04-14,0.84,0.828,0.841,0.828,2077160.78,510050
37,2005-04-15,0.827,0.818,0.827,0.817,2803011.12,510050
38,2005-04-18,0.815,0.808,0.819,0.805,1651911.31,510050
