,date,close,high,low,open,volume
0,2013-11-27 00:00:00,5.39,5.4,5.28,5.36,351312.09
1,2013-11-28 00:00:00,5.47,5.53,5.37,5.39,316658.69
2,2013-11-29 00:00:00,5.45,5.5,5.44,5.49,168379.23
3,2013-12-02 00:00:00,5.34,5.48,5.33,5.41,252088.56
4,2013-12-03 00:00:00,5.41,5.43,5.32,5.33,142087.38
5,2013-12-04 00:00:00,5.47,5.55,5.37,5.41,333520.5
6,2013-12-05 00:00:00,5.48,5.53,5.46,5.49,209481.34
7,2013-12-06 00:00:00,5.49,5.51,5.46,5.48,151265.66
8,2013-12-09 00:00:00,5.45,5.55,5.43,5.53,201897.84
9,2013-12-10 00:00:00,5.49,5.51,5.43,5.46,211539.44
10,2013-12-11 00:00:00,5.41,5.49,5.39,5.49,253306.59
11,2013-12-12 00:00:00,5.42,5.45,5.4,5.41,130131.12
12,2013-12-13 00:00:00,5.44,5.5,5.38,5.39,211593.91
13,2013-12-16 00:00:00,5.42,5.48,5.4,5.47,236218.73
14,2013-12-17 00:00:00,5.4,5.46,5.39,5.45,117202.78
15,2013-12-18 00:00:00,5.32,5.41,5.28,5.38,243282.03
16,2013-12-19 00:00:00,5.28,5.35,5.24,5.34,173362.02
17,2013-12-20 00:00:00,5.17,5.3,5.14,5.28,269256.09
18,2013-12-23 00:00:00,5.1,5.19,5.05,5.17,225432.05
19,2013-12-24 00:00:00,5.12,5.23,5.1,5.12,220358.91
20,2013-12-25 00:00:00,5.23,5.23,5.11,5.15,197881.55
21,2013-12-26 00:00:00,5.11,5.22,5.09,5.19,181961.16
22,2013-12-27 00:00:00,5.22,5.25,5.09,5.13,433832.69
23,2013-12-30 00:00:00,5.16,5.23,5.08,5.22,449682.47
24,2013-12-31 00:00:00,5.3,5.3,5.1,5.1,445948.44
25,2014-01-02 00:00:00,5.26,5.32,5.25,5.26,159696.16
26,2014-01-03 00:00:00,5.15,5.27,5.12,5.22,219833.91
27,2014-01-06 00:00:00,4.98,5.16,4.93,5.15,344818.44
28,2014-01-07 00:00:00,4.96,5,4.92,4.92,182395.66
29,2014-01-08 00:00:00,4.94,5.02,4.9,4.97,193305.66
30,2014-01-09 00:00:00,4.84,4.97,4.79,4.92,271612.22
31,2014-01-10 00:00:00,4.86,4.87,4.79,4.85,189619.05
32,2014-01-13 00:00:00,4.72,4.86,4.64,4.86,259893.5
33,2014-01-14 00:00:00,4.71,4.76,4.54,4.7,376473.66
34,2014-01-15 00:00:00,4.58,4.71,4.55,4.69,774170.31
35,2014-01-16 00:00:00,4.67,4.68,4.54,4.59,404669.5
36,2014-01-17 00:00:00,4.66,4.68,4.6,4.63,203237.19
37,2014-01-20 00:00:00,4.6,4.69,4.58,4.66,200583.09
38,2014-01-21 00:00:00,4.72,4.78,4.6,4.62,275260.72
39,2014-01-22 00:00:00,5.03,5.03,4.7,4.73,514668.88
40,2014-01-23 00:00:00,5.02,5.05,4.93,5,247571.44
41,2014-01-24 00:00:00,5.06,5.22,4.98,5,443084.25
42,2014-01-27 00:00:00,4.86,5.01,4.83,5.01,372351.88
43,2014-01-28 00:00:00,4.91,4.92,4.82,4.86,218993.38
44,2014-01-29 00:00:00,4.87,4.91,4.87,4.9,125314.4
45,2014-01-30 00:00:00,4.9,5,4.76,4.87,232471.23
46,2014-02-07 00:00:00,4.91,4.98,4.77,4.86,260311.61
47,2014-02-10 00:00:00,5,5.04,4.92,4.94,379648.28
48,2014-02-11 00:00:00,4.99,5.05,4.94,4.99,382111.31
49,2014-02-12 00:00:00,4.96,5.03,4.89,5,461647.12
50,2014-02-13 00:00:00,4.92,5,4.86,4.93,377172.25
51,2014-02-14 00:00:00,4.93,4.95,4.87,4.92,291487.28
52,2014-02-17 00:00:00,4.94,4.98,4.89,4.94,370187.34
